Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
437	10753.0			19.4	21.6	56.0		2.69	20
438	10754.5	52	20	24.5	23.4	280.0		2.64	20
439	10755.8			25.2	24.2	680.0		2.65	20
440	10756.7			21.9	22.9	190.0		2.68	20
									
441	10757.7			22.4	23.2	690.0		2.66	20
442	10758.6			26.1	24.9	1700.0		2.64	20
443	10759.6			24.9	24.0	630.0		2.64	20
444	10760.7			20.1	20.6	66.0		2.66	20
445	10761.6			17.3	19.3	85.0		2.69	20
									
446	10762.6	47	20	22.7	22.1	200.0		2.65	20
447	10763.5			25.7	24.4	950.0		2.65	20
448	10764.3			23.3	24.3	170.0		2.64	20
449	10765.3			24.9	25.2	880.0		2.64	20
450	10766.3			27.5	26.8	1200.0		2.64	20
									
451	10767.0			27.1	27.1	1000.0		2.64	20
452	10768.0			26.6	26.1	1000.0		2.64	20
453	10769.0			24.0	24.6	930.0	840	2.66	20
454	10770.1	41	24	23.8	24.1	700.0		2.66	20
455	10770.8			24.8	25.2	840.0		2.65	20
									
456	10772.1			27.3	25.9	1400.0		2.65	20
457	10772.9			24.1	24.9	630.0		2.66	20
458	10774.0			24.0	23.7	660.0		2.66	20
459	10775.0			22.7	23.9	430.0		2.67	20
460	10775.7			26.3	25.3	1300.0		2.64	20
									
461	10776.9	43	23	26.2	25.9	1400.0		2.64	20
462	10778.0			24.9	25.6	660.0		2.65	20
463	10778.4			26.4	25.8	1000.0		2.64	20
464	10779.4			25.6	26.0	990.0		2.65	20
465	10780.4			26.3	26.4	1300.0		2.65	20
									
466	10781.5			27.4	26.3	720.0		2.64	20
467	10782.4			24.1	25.7	100.0		2.64	20
468	10783.4			27.3	26.2	1200.0		2.64	20
469	10784.3			26.0	26.5	650.0		2.65	20
470	10784.9	45	20	26.8	26.6	1400.0		2.64	20
									
471	10786.1			26.7	27.0	950.0		2.64	20
472	10787.1			27.8	27.4	1200.0		2.64	20
473	10788.1			27.5	27.3	1500.0		2.64	20
474	10789.0			26.5	27.1	1000.0		2.65	20
475	10790.0			27.7	27.4	1600.0	1500	2.64	20
									
476	10791.4	46	22	27.8	27.5	1400.0		2.64	20
477	10792.3			26.8	27.4	910.0		2.64	20
478	10793.3			28.1	28.0	1500.0		2.64	20
479	10764.2			28.8	27.2	1600.0		2.63	20
