Depth,Porosity,Saturation 
10649.95,0.228792,0.233509
10650.38,0.260195,0.237592
10650.82,0.264242,0.237952
10651.25,0.271515,0.221588
10651.69,0.278788,0.192058
10652.12,0.278788,0.175234
10652.55,0.276364,0.15993
10652.99,0.278788,0.14453
10653.42,0.278788,0.139331
10653.86,0.27394,0.139908
10654.29,0.278788,0.135597
10654.72,0.278788,0.136656
10655.16,0.27394,0.139388
10655.59,0.277576,0.137277
10656.02,0.278788,0.137515
10656.46,0.27697,0.141289
10656.89,0.276364,0.143168
10657.32,0.278788,0.144259
10657.76,0.281212,0.143704
10658.19,0.283637,0.144372
10658.62,0.287879,0.144033
10659.06,0.290303,0.144849
10659.49,0.281212,0.153152
10659.92,0.283637,0.154312
10660.36,0.290303,0.152361
10660.79,0.283637,0.153378
10661.22,0.278788,0.155646
10661.66,0.269091,0.157698
10662.09,0.27394,0.152947
10662.52,0.278788,0.151989
10662.96,0.269091,0.155852
10663.39,0.264242,0.159147
10663.82,0.264242,0.160651
10664.25,0.271515,0.158017
10664.69,0.285455,0.15114
10665.12,0.292727,0.149718
10665.55,0.285455,0.155121
10665.99,0.285455,0.160125
10666.42,0.290303,0.161071
10666.85,0.28,0.165781
10667.29,0.261577,0.171313
10667.72,0.262815,0.163992
10668.15,0.256345,0.160278
10668.58,0.246782,0.159488
10669.02,0.227277,0.158618
10669.45,0.21749,0.152608
10669.88,0.229384,0.149045
10670.31,0.249719,0.148868
10670.75,0.248675,0.155054
10671.18,0.246895,0.15716
10671.61,0.237771,0.162943
10672.04,0.256558,0.159589
10672.48,0.29181,0.15008
10672.91,0.3,0.150672
10673.34,0.307273,0.147898
10673.77,0.286815,0.151658
10674.21,0.266831,0.148558
10674.64,0.256759,0.150598
10675.08,0.239678,0.158034
10675.51,0.221802,0.169327
10675.95,0.239286,0.168494
10676.38,0.246895,0.175938
10676.82,0.236865,0.189067
10677.25,0.231079,0.201798
10677.69,0.251473,0.206791
10678.12,0.254484,0.216106
10678.56,0.24943,0.213853
10679,0.242588,0.210614
10679.43,0.247061,0.196622
10679.87,0.23441,0.18302
10680.3,0.239128,0.172423
10680.74,0.2465,0.177782
10681.17,0.276364,0.178858
10681.61,0.285455,0.17337
10682.04,0.281212,0.166375
10682.48,0.272364,0.157994
10682.92,0.252223,0.149587
10683.35,0.258562,0.15071
10683.79,0.286409,0.150792
10684.22,0.285455,0.14911
10684.66,0.292727,0.143005
10685.1,0.277343,0.145361
10685.53,0.280029,0.147415
10685.97,0.271515,0.157988
10686.4,0.282424,0.15658
10686.84,0.285455,0.156057
10687.28,0.276364,0.161913
10687.71,0.281212,0.161038
10688.15,0.285455,0.158213
10688.58,0.281212,0.160802
10689.02,0.275151,0.163628
10689.46,0.269091,0.167272
10689.89,0.278788,0.160548
10690.33,0.283637,0.157662
10690.77,0.278933,0.158836
10691.2,0.273216,0.158507
10691.64,0.286533,0.155659
10692.08,0.286421,0.160147
10692.51,0.275463,0.164037
10692.95,0.278721,0.163847
10693.38,0.28486,0.162471
10693.82,0.276359,0.170951
10694.26,0.273296,0.177192
10694.69,0.283637,0.181303
10695.13,0.278788,0.186766
10695.57,0.281212,0.186354
10696,0.278788,0.191076
10696.44,0.271515,0.198262
10696.88,0.277576,0.19568
10697.31,0.278788,0.196584
10697.75,0.27394,0.202581
10698.19,0.28,0.200651
10698.62,0.285455,0.201708
10699.06,0.283637,0.2062
10699.5,0.278788,0.215354
10699.94,0.25697,0.236497
10700.37,0.260478,0.23295
10700.81,0.269091,0.23071
10701.25,0.269091,0.229036
10701.68,0.254545,0.237649
10702.12,0.266667,0.221876
10702.56,0.259394,0.231041
10702.99,0.264242,0.234152
10703.43,0.259394,0.246089
10703.87,0.259394,0.250429
10704.31,0.25697,0.253045
10704.74,0.266667,0.246125
10705.18,0.269091,0.24467
10705.62,0.271515,0.243494
